garment_id,csv_article_type,csv_product_name,raw_materials_care_desc,raw_description_text,source_conflict_detail,primary_material,material_source,composition_status,scoring_eligibility
10499,Tshirts,Flying Machine Women Aspen Yellow Tshirts,,"Composition Light papaya yellow pleated sphagetti top made of 100% viscose with adjustable straps Fitting Regular Wash care Machine wash cold water Do not tumble dry Turn inside out before drying Don't dry in direct sunlight Use warm iron Do not use iron on print/embroidery Stylish to the hilt, this viscose sphagetti top from flying machine is designed for those who never compromise on comfort and looks. The pleated front adds to your style quotient, while the viscose fabric falls well and accentuates the body. Team this with jeans and sports shoes and flaunt your fashion statement in style. Model statistics The model wears size M in t-shirts Height-5’8""; Chest-33""",structured=['cotton']; detailed_text=['viscose'],viscose,description,exact_single_fibre_percentage,eligible_exact_single_fibre
7791,Tshirts,Proline Men's Polo Solid Olive T-shirt,"Composition Olive polo neck t-shirt made of a polyester-cotton blend, with a vented hem and short sleeves that have ribbed cuffs, an embroidered logo on the chest and a three buttoned placket Fitting Comfort Wash care Dry clean preferred Wash inside out separately Use mild detergent only Do not bleach Drip dry Warm iron, but do not iron on design/decoration Take sophisticated dressing to the next level with this polo neck t-shirt from proline. The plain block of colour gives a burst of energy, while the ribbed hemline at the sleeve sits snug on your well toned arms. Pair this tee with denims and leather slip-ons for casual Fridays and for casual outings. Model statistics The model wears size M in t-shirts Height-6', Shoulders-19""","Composition Olive polo neck t-shirt made of a polyester-cotton blend, with a vented hem and short sleeves that have ribbed cuffs, an embroidered logo on the chest and a three buttoned placket Fitting Comfort Wash care Dry clean preferred Wash inside out separately Use mild detergent only Do not bleach Drip dry Warm iron, but do not iron on design/decoration Take sophisticated dressing to the next level with this polo neck t-shirt from proline. The plain block of colour gives a burst of energy, while the ribbed hemline at the sleeve sits snug on your well toned arms. Pair this tee with denims and leather slip-ons for casual Fridays and for casual outings. Model statistics The model wears size M in t-shirts Height-6', Shoulders-19""","structured=['cotton', 'elastane']; detailed_text=['cotton', 'leather', 'polyester']",,materials_care_desc,named_blend_no_percentages,needs_review
42640,Kurtas,W Women Red Dress,,"Style Note This simply styled dress from w is just right for Summer '12. It goes easy on the prints (perfect for when you want a change from the tribal prints we've seen so much of) and styles its silhouette simply without fussy design details. Pair this with either a blingy pair of leggings for an over-the-top ethnic look (the minimalistic dress will balance out the loud leggings) or simply style it with monochrome ones for a sunny day out. Product Details Red round neck dress, has a half buttoned placket, three quarter sleeves, double lip buttoned welt pocket on the left chest, loops at the sides and a fabric belt at the midriff Material and Care 100% cotton Wash dark colours separately Do not bleach Dry inside out in shade Warm iron; do not iron on decorations Size and Fit Regular fit The model (height 5'8"" and chest 33"") is wearing a size M",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
18263,Kurtas,Aneri Women Nancy Yellow Kurta,,"Composition Yellow and grey printed kurta made of 100% cotton, has a rounded V-neck, yellow printed yoke with pin tucks and purple piping, concealed three hook placket with purple piping, mildly puffed cap sleeves with elasticated hems and a vented hem Fit Regular Wash care Wash separately in cold water using a mild detergent Wear art wherever you go! This kurta from aneri comes in a classic combination of grey and yellow, making it a perfect buy. The simple silhouette and cap sleeves give this kurta an ethnic look. Team it with leggings or pyjamas, heeled slippers and long earrings. Model statistics The product is a size S on a model of height 5'7"" and chest 32""",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
54325,Bra,Garfield Women White & Pink Bra,90% polyamide 10% elastane Hand wash gently,"White and pink, underwired, push up bra, soft padded cups with brand print on the left cup and bow in the middle with brand print, plunging neckline, adjustable straps, lace stripe on the side wings and three row hook closure Owing to intimate nature of this product it is eligible for self-ship return only (no pick-up facility)","structured=['elastane', 'polyester']; detailed_text=['elastane', 'nylon']",nylon,materials_care_desc,exact_blend_percentages,known_blend_pending_policy
18003,Tshirts,Puma Men Training Polo Blue Tshirt,,"Composition Blue and black polo neck T-shirt made of 100% polyester, has short sleeves, mesh panels on the front, sides, sleeves and back, buttoned chest placket and rubber applique of branding on the left chest Fitting Regular Wash care Gentle machine wash in cold water Do not bleach, tumble dry or dry clean Cool iron; Do not iron on decorations Add oodles of style to your training sessions in this blue and black T-shirt from puma.The appliqued brand logo on the upper left chest adds an interesting detail, while the polyester fabric with moisture management keeps you feeling comfortable on extended training sessions. Team this with tracks or training shorts . Model statistics Model is a size M of height 6', chest 39"" and shoulders 18”",structured=['cotton']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
52480,Baby Dolls,Red Rose Blue & Black Nightdress,Blended nylon net fabric Hand wash,"Black strappy night dress with frills at the bust, printed blue hearts below the bust, open from below the bust to the hem in the front and ruffles at the hem Comes with a matching pair of bikini briefs",structured=['polyester']; detailed_text=['nylon'],,materials_care_desc,named_blend_no_percentages,needs_review
28691,Kurtas,W Women Printed Black Kurta,,"Composition Black printed kurta made of 100% cotton, has a round neck, short raglan sleeves, button detail at the neck and a vented hem Fit Regular Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with w's innovative styling. For the conservative at heart, this piece can be worn with leggings and delicate sandals. For a boho chick meets rebel style, colour block this with bright capris. Model statistics The product is a size 8 on a model of height 5'8"" and chest 33""",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
59699,Bra,Avirate Black Bra,95% polyester and 5% spandex Hand wash,Black lace bra with lace trims on the cups Adjustable straps with pretty pink bows on the straps and the middle Hook closure Owing to intimate nature of this product it is eligible for self-ship return only (no pick-up facility),"structured=['elastane', 'nylon']; detailed_text=['elastane', 'polyester']",polyester,materials_care_desc,exact_blend_percentages,known_blend_pending_policy
19981,Tshirts,United Colors of Benetton Men Printed White TShirt,,"Composition White v-neck t-shirt made of 70% modal and 30% polyester, has short sleeves and graphic print on the front Fit Regular Wash care Delicate machine wash at 30 degrees using mild detergent Do not dry clean Do not tumble dry, wring, scrub or bleach Dry flat in shade Warm iron Do not iron on decorations If you like your music fast and hard-edged then this t-shirt from united colors of benetton is perfect for you. The short sleeves and the & ldquo Punk Rock& rdquo graphic print suits your style and the soft blend of the modal/polyester fabric keeps you in exemplary comfort all day. Pair this with faded jeans and canvas shoes Model Statistics Product is a size M on a model of height 6' and shoulders 18& rdquo","structured=['cotton']; detailed_text=['modal', 'polyester']",modal,description,exact_blend_percentages,known_blend_pending_policy
42641,Kurtas,W Women Blue Kurta,,"Style Note Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with W's innovative styling. Wear this piece with leggings and delicate sandals. Product Details Blue printed kurta with square neck that is slightly curved at the centre, is sleeveless with cap sleeves, is elasticated and smocked on the shoulders and has a vented hem Material and Care 100% Cotton Wash dark colours separately Do not bleach Dry inside out in shade Warm iron do not iron on decorations Size and Fit Regular Fit The model (height 5'8 and chest 32) is wearing a size WS",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
40575,Kurtas,W Women White Kurta,,"Style Note Every woman needs a choice of kurtas in her wardrobe. The USP of w is a simple, elegant silhouette, coupled with modern design details. In this kurta we see the traditional garment in a new avatar with W's innovative styling. Wear this piece with leggings and delicate sandals. Product Details White, green and blue kurta with a round neck, is sleeveless, has blue panelling around the neckline and armhole and a curved hem Material and Care 100% Cotton Wash dark colours separately Do not bleach Dry inside out in shade Warm iron do not iron on decorations Size and Fit Regular Fit The model (height 5'8â &euro Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¯Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¢Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¯Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¿Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â½ and chest 32â &euro Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¯Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¢Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¯Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â¿Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â???Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â??Ã?Â?Ã?Â½) is wearing a size WS",structured=['silk']; detailed_text=['cotton'],cotton,description,exact_single_fibre_percentage,eligible_exact_single_fibre
11785,Tshirts,Lee Women Solid Black Tshirts,,"Composition Black t-shirt made of 95% viscose and 5% lycra, has a round neck with a buttoned chest placket, short sleeves with branding printed above the left hem and inner neck, and has a brand badge on the left seam Fitting Regular Wash care only hand wash cold using a mild detergent Wash dark colours separately Turn inside out before washing and drying Do not bleach, wring or tumble dry Flat dry in shade Mild iron/do not iron on print or embroidery Slip into your second skin and live in ease with this black t-shirt from lee. The viscose fabric is sure to flow around your body and keep you fresh, comfortable and free from sweat all day, while the lycra allows you to stretch with ease. Team this T-shirt with shorts , jeans and skirts and enjoy comfort like never before. Model statistics The model wears size M in t-shirts Height: 5'7"" Chest: 33"" Waist: 25""","structured=['cotton']; detailed_text=['elastane', 'viscose']",viscose,description,exact_blend_percentages,known_blend_pending_policy
4772,Tshirts,ADIDAS Women's Blue Polo T-shirt,Blended Only hand wash gently Do not machine wash Wash with like colours Wash and iron inside out Do not use fabric softener Use mild detergent only Do not iron on motif/print/trims/logo,"Blue polo neck t-shirt made of 95% cotton and 5% lycra mix, and has a ribbed collar and cuff with white stripes along the hem and embroidered logo on the left chest","structured=['polyester']; detailed_text=['cotton', 'elastane']",cotton,description,exact_blend_percentages,known_blend_pending_policy
40118,Tshirts,ADIDAS Men Red T-shirt,,"Style Note adidas helps you avoid discomfort and keep dry and comfortable. This T-shirt, engineered with Climalite technology, offers you a flattering stylised look. Pair it with a pair of jeans and sports shoes on your day off, or with shorts and Sports shoes when you're hitting the gym. Product Details Red sleeveless T-shirt, has a round neckline, patterns on the shoulders and back yoke, white Adidas patented three stripes on the sides and branding on the left shoulder Material and Care 100% polyester Machine wash cool with like colours using a mild detergent Do not soak, tumble dry, bleach or dry clean Dry in shade Warm iron do not iron on decorations Size and Fit Regular fit The model (height 6' and shoulders 18"") is wearing a size M",structured=['viscose']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
30741,Nehru Jackets,Fabindia Men Brown Silk Sleeveless Jacket,,"Composition Brown sleeveless ethnic jacket made of silk, has a Nehru collar, full buttoned placket, two insert pockets on the sides with a smaller insert pocket on the left chest and a vented hem Fit Regular Wash care Dry clean only This earthy jacket by fabindia for men is perfect for the artsy intellectual. The superior comfort provided by the silk fabric with a traditional yet fashionable cut makes this a wardrobe essential. Pair this with colourful cotton trousers to go all out and make a colour block statement. For the more conservative, pair it with simple form fitting denims, tees and sandals. Model statistics The product is a size 40 on a model of height 6' and shoulders 18""",structured=['cotton']; detailed_text=['silk'],,article_attributes_fabric,named_blend_no_percentages,needs_review
10510,Tshirts,Flying Machine Women RN HS Grey Tshirts,,"Composition Dark grey round neck top made of 100% viscose that has very short dolman sleeves, rouched side hems, pop art print on the front towards the hem and crystal studded detailing on the front Fitting Regular Wash Care Machine wash cold water Do not tumble dry Turn inside out before drying Don't dry in direct sunlight Use warm iron Do not use iron on print/embroidery Upgrade your casual style with this grey top from flying machine. The sleek design and the graphic on the front of the perfume bottles adds to the femininity of the top. Made of viscose rayon, this top has a silky appearance and feel, but allows your body to breathe as well as it does in cotton weaves. Pair this top with jeans and stylish feminine sandals available in a wide range at myntra. Model statistics The model wears size M in t-shirts Height-5.8"", Chest-33""",structured=['cotton']; detailed_text=['viscose'],viscose,description,exact_single_fibre_percentage,eligible_exact_single_fibre
11258,Tops,Puma Women Black Essential Racerback Tank Top,88% polyester and 12% elastane Machine-wash,"Black top, has a scoop neck, sleeveless racer back, crafted with moisture management ""Dry Cell"" technique","structured=['viscose']; detailed_text=['elastane', 'polyester']",polyester,materials_care_desc,exact_blend_percentages,known_blend_pending_policy
48467,Dresses,French Connection Women Red Dress,"Shell: 97% cotton, 3% elastane Lining: 97% cotton, 3% elastane Dry clean only","Red dress with prints, short sleeve with pleats at the hem, deep V-neck, zipper closure at the back","structured=['polyester']; detailed_text=['cotton', 'elastane']",cotton,materials_care_desc,role_specific_or_multi_part_composition,needs_role_review
22622,Tshirts,Nike Men Red Polo T-shirt,Machine wash cold with like colours Do not dry clean or bleach Tumble dry low Warm iron,"Red polo neck t-shirt made of 100% polyester, engineered with Dri-Fit technology, has short sleeves, panel on the chest and embroidered branding on the chest",structured=['cotton']; detailed_text=['polyester'],polyester,description,exact_single_fibre_percentage,eligible_exact_single_fibre
52501,Baby Dolls,Red Rose Red Nightdress,"Nylon net fabric Hand wash, drip dry in shade Do not wring, iron, bleach Wash dark colours separately","Red semi sheet halter neck nightdress, has a V-neckline and flower detail on the front Comes with a red bikini brief",structured=['polyester']; detailed_text=['nylon'],nylon,materials_care_desc,single_fibre_claim_unquantified,main_material_proxy_only
